ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B6GY3V99,0.48,0.49871899999999997,0.503,0.4981,99.875816246154,0.004281,5689550000,1000000000,5.69,1000000000.0,3,2011-10-24,30.8,2011-07-22
GB00B6H08B12,0.514,0.527686,0.537,0.526301,99.73757036277,0.009314,7063000000,1500000000,4.71,1499997500.0,6,2012-01-23,45.33,2011-07-22
GB00B3NYGL23,0.4,0.459465,0.47,0.459297,99.963507883251,0.010535,2318350000,500000000,4.64,499989000.0,1,2011-08-30,13.7,2011-07-29
GB00B6GY9F51,0.4,0.48808,0.495,0.487487,99.878462195497,0.006919999999999999,4416200000,1000000000,4.42,999950000.0,3,2011-10-31,31.25,2011-07-29
GB00B6H0DK57,0.51,0.523277,0.53,0.521915,99.73975734731602,0.006723000000000001,5379500000,1500000000,3.59,1499989200.0,6,2012-01-30,40.41,2011-07-29
GB00B6H0JY14,0.47,0.4965350000000001,0.5,0.495309,99.753024165769,0.0034649999999999998,4603350000,1500000000,3.07,1499937950.0,6,2012-02-06,76.95,2011-08-05
GB00B6GYDF38,0.44,0.4662020000000001,0.479,0.465661,99.883903756477,0.012798,4254200000,1000000000,4.25,999970560.0,3,2011-11-07,23.88,2011-08-05
GB00B6GWYF43,0.4,0.426088,0.43,0.425949,99.96732447764799,0.003912,3719600000,500000000,7.44,499952800.0,1,2011-09-05,48.02,2011-08-05
GB00B6GX3G17,0.38,0.399425,0.42,0.399303,99.969368563807,0.020575,2068450000,500000000,4.14,499980000.0,1,2011-09-12,0.2,2011-08-12
GB00B6GYL046,0.42,0.445571,0.46,0.4450770000000001,99.889035703152,0.014429,4070950000,1000000000,4.07,999994000.0,3,2011-11-14,13.18,2011-08-12
GB00B6H0NT49,0.469,0.476789,0.485,0.475658,99.762822504631,0.008211000000000001,4432000000,1500000000,2.95,1499970000.0,6,2012-02-13,25.42,2011-08-12
GB00B3K2RG15,0.385,0.402542,0.419,0.402418,99.969129598514,0.016458,1331500000,500000000,2.66,499999000.0,1,2011-09-19,78.33,2011-08-19
GB00B3NYGZ68,0.42,0.444195,0.45899999999999996,0.443704,99.889378000938,0.014805000000000004,2442550000,1000000000,2.44,999993000.0,3,2011-11-21,52.76,2011-08-19
GB00B6GYV268,0.44,0.474496,0.48700000000000004,0.473376,99.763960459366,0.012504,3921500000,1500000000,2.61,1500000000.0,6,2012-02-20,77.0,2011-08-19
GB00B6GXGB71,0.39,0.431357,0.499,0.43121899999999996,99.96810157834,0.06764300000000001,1593200000,1000000000,1.59,1000000000.0,1,2011-09-26,6.8,2011-08-26
GB00B6GZ0W23,0.41,0.458305,0.473,0.457788,99.88712084868999,0.014694999999999996,2499400000,1000000000,2.5,1000000000.0,3,2011-11-28,2.4,2011-08-26
GB00B6H10Y11,0.44,0.478224,0.498,0.477093,99.76341435914,0.019776,4664500000,1500000000,3.11,1499999000.0,6,2012-02-27,68.33,2011-08-26
GB00B6H15H90,0.47,0.492079,0.5,0.490875,99.75523514912399,0.007921,5425250000,1500000000,3.62,1499880000.0,6,2012-03-05,21.8,2011-09-02
GB00B6GZ5P01,0.4370000000000001,0.46469,0.479,0.4641520000000001,99.88427984750099,0.01431,3368500000,1000000000,3.37,999997500.0,3,2011-12-05,46.57,2011-09-02
GB00B6GXLC32,0.434,0.458713,0.5,0.4585520000000001,99.96482343579599,0.041287,4118600000,1500000000,2.75,1499953000.0,1,2011-10-03,1.46,2011-09-02
GB00B6GXPH66,0.44,0.465471,0.49,0.465305,99.96430538122499,0.024529,4634550000,1500000000,3.09,1499995000.0,1,2011-10-10,29.85,2011-09-09
